serviceId,01,02,03,04,05,06,07,08,09,10,11,12
1,13917.0,14477.0,11687.0,9674.0,11683.0,11439.0,12061.0,12959.0,11238.0,10249.0,10727.0,14372.0
2,42.0,43.0,30.0,33.0,36.0,43.0,51.0,73.0,57.0,59.0,56.0,66.0
3,843.0,805.0,783.0,853.0,954.0,1046.0,1308.0,1273.0,1008.0,1025.0,1054.0,973.0
4,9228.0,6043.0,4387.0,4012.0,5195.0,5245.0,9322.0,5826.0,3620.0,3376.0,4319.0,7700.0
5,4434.0,4160.0,3107.0,2436.0,3112.0,2882.0,3250.0,3359.0,2831.0,2775.0,3048.0,3669.0
6,575.0,438.0,413.0,258.0,300.0,331.0,406.0,358.0,311.0,383.0,504.0,505.0
7,64.0,49.0,41.0,38.0,45.0,38.0,36.0,39.0,36.0,36.0,39.0,57.0
8,63.0,49.0,51.0,39.0,35.0,40.0,43.0,27.0,30.0,31.0,30.0,58.0
9,51.0,47.0,29.0,31.0,35.0,31.0,36.0,40.0,36.0,39.0,41.0,48.0
10,207.0,147.0,132.0,95.0,127.0,132.0,209.0,193.0,118.0,118.0,103.0,146.0
11,144.0,115.0,112.0,102.0,86.0,116.0,119.0,121.0,115.0,102.0,109.0,97.0
12,2050.0,1796.0,1579.0,1599.0,1656.0,1653.0,2247.0,1931.0,1604.0,1888.0,1704.0,2310.0
13,3132.0,3066.0,2531.0,2142.0,2754.0,2791.0,3137.0,3574.0,3033.0,2603.0,2482.0,3050.0
14,3160.0,3459.0,3272.0,2723.0,3142.0,3174.0,3228.0,3250.0,3162.0,2983.0,3095.0,3407.0
15,2947.0,2237.0,2240.0,1432.0,1644.0,1671.0,2047.0,2456.0,2824.0,2644.0,3193.0,3351.0
16,810.0,682.0,619.0,527.0,709.0,629.0,692.0,749.0,722.0,796.0,782.0,907.0
17,373.0,321.0,316.0,296.0,326.0,356.0,282.0,284.0,282.0,318.0,268.0,272.0
18,9.0,10.0,10.0,10.0,17.0,9.0,14.0,22.0,11.0,7.0,19.0,21.0
19,12434.0,14596.0,13230.0,11661.0,13317.0,12641.0,13887.0,14486.0,14277.0,13961.0,14407.0,16813.0
20,918.0,657.0,570.0,522.0,619.0,601.0,696.0,934.0,731.0,617.0,616.0,677.0
21,,,,,,,1.0,899.0,474.0,422.0,493.0,897.0
22,8921.0,7205.0,6313.0,6657.0,8561.0,9481.0,12129.0,12618.0,12260.0,12178.0,12491.0,13788.0
